Area Codes,All Ages
E01033714,"2,638"
E01027449,"1,588"
E01027468,"1,313"
E01027469,"1,583"
E01027471,"1,562"
E01027472,"1,774"
E01027476,"2,327"
E01027489,"1,474"
E01027490,"1,742"
E01027491,"1,536"
E01027492,"1,764"
E01027493,"1,683"
E01027494,"2,488"
E01027483,"1,387"
E01027496,"1,199"
E01027508,"1,091"
E01027513,"1,919"
E01027484,"2,178"
E01027485,"1,549"
E01027486,"1,138"
E01027487,"1,130"
E01027512,"1,045"
E01027497,"2,664"
E01027498,"2,787"
E01027499,"1,653"
E01027500,"1,688"
E01027501,"1,074"
E01027502,"1,169"
E01027481,"1,681"
E01027482,"1,626"
E01027504,"1,978"
E01027506,"1,172"
E01027507,"1,402"
E01027509,"1,351"
E01027477,"1,207"
E01027478,"1,151"
E01027488,"2,161"
E01027495,"1,138"
E01027505,"1,493"
E01027510,"1,214"
E06000003,"136,005"
E01012100,"1,642"
E01012101,"1,508"
E01012102,"2,337"
E01012184,"1,425"
E01012105,"1,407"
E01012142,"1,652"
E01012143,"1,381"
E01012144,"1,368"
E01012106,"1,373"
E01012107,"1,366"
E01032560,"1,068"
E01032561,"1,576"
E01012176,"1,381"
E01012177,"1,407"
E01012178,"1,366"
E01012179,"1,683"
E01012180,"1,722"
E01012185,"1,420"
E01012186,"1,571"
E01012127,"1,159"
E01012128,"1,247"
E01012129,"2,362"
E01012130,"1,248"
E01012131,"1,414"
E01012138,"2,621"
E01012139,"1,807"
E01012140,"1,342"
E01012141,"1,029"
E01012154,"1,209"
E01012155,"1,530"
E01012156,"1,613"
E01012157,"1,637"
E01012158,"1,446"
E01012159,"1,565"
E01012160,"1,551"
E01012161,"1,523"
E01012113,"1,415"
E01012114,"1,484"
E01012175,"1,432"
E01033471,"2,232"
E01012095,"1,335"
E01012097,"1,156"
E01012098,"1,518"
E01012099,"1,479"
E01012108,"1,412"
E01012109,"1,443"
E01012110,"1,418"
E01012111,"1,231"
E01012171,"1,424"
E01012172,"1,368"
E01012162,"1,392"
E01012163,"2,336"
E01012164,"1,592"
E01012165,"2,392"
E01012096,"1,444"
E01012136,"1,443"
E01033473,"2,174"
E01012112,"1,503"
E01012145,"1,433"
E01012147,"1,766"
E01012149,"1,210"
E01012132,"1,933"
E01012134,"1,372"
E01012137,"1,338"
E01012181,"1,705"
E01012117,"1,661"
E01012118,"1,378"
E01012119,"2,052"
E01012121,"1,404"
E01032548,"1,597"
E01032549,"1,958"
E01033472,"2,464"
E01012120,"1,304"
E01012124,"1,433"
E01012182,"1,349"
E01012183,"1,496"
E01012148,"1,516"
E01012150,"1,500"
E01012151,"1,493"
E01012152,"1,544"
E01032594,"1,424"
E01012146,"1,215"
E01012167,"1,763"
E01012168,"1,921"
E01012170,"1,345"
E01012173,"1,088"
E01012174,"1,002"
E01033470,"1,762"
E06000004,"196,487"
E01012242,"1,423"
E01012243,"1,529"
E01012244,"1,361"
E01012246,"1,385"
E01012296,"1,351"
E01012297,"2,501"
E01012197,"2,129"
E01012256,"1,328"
E01012257,"1,413"
E01012275,"1,565"
E01012276,"1,751"
E01012277,"1,692"
E01012196,"1,630"
E01012198,"1,420"
E01012214,"1,662"
E01012215,"1,304"
E01012216,"1,277"
E01012245,"1,544"
E01012278,"1,315"
E01012279,"1,813"
E01012280,"1,514"
E01012281,"1,289"
E01012255,"1,345"
E01012269,"1,677"
E01012294,"1,182"
E01012295,"1,207"
E01033476,"1,773"
E01033480,"1,823"
E01012210,"1,461"
E01012211,"1,772"
E01012212,"1,505"
E01012213,"1,328"
E01012192,"1,467"
E01012193,"1,497"
E01012260,"1,715"
E01012261,"1,485"
E01012247,"1,305"
E01012249,"1,622"
E01012271,"1,484"
E01012272,"1,015"
E01012273,"1,608"
E01012274,"1,301"
E01012248,"1,408"
E01012250,"1,597"
E01032542,"1,764"
E01032543,"2,167"
E01032544,"2,044"
E01012194,"1,476"
E01012195,"1,545"
E01012258,"2,283"
E01012259,"1,716"
E01012268,"1,609"
E01012187,"1,369"
E01012188,"1,149"
E01012189,"1,355"
E01012205,"1,413"
E01012219,"1,760"
E01012251,"1,632"
E01012252,"1,546"
E01012253,"1,338"
E01012254,"1,445"
E01012204,"1,229"
E01012206,"1,403"
E01012207,"1,938"
E01012208,"1,608"
E01012262,"3,116"
E01012264,"2,980"
E01012266,"2,421"
E01012267,"1,728"
E01033477,"2,937"
E01012190,"1,400"
E01012191,"1,589"
E01012224,"1,713"
E01012225,"1,487"
E01012226,"1,322"
E01012209,"1,638"
E01012217,"1,516"
E01012218,"1,558"
E01012223,"1,526"
E01012286,"1,512"
E01012287,"2,897"
E01012288,"1,463"
E01012289,"1,289"
E01012238,"1,603"
E01012239,"2,531"
E01012240,"1,747"
E01012241,"1,380"
E01012290,"1,734"
E01012291,"1,996"
E01012292,"2,441"
E01012282,"1,247"
E01012283,"1,218"
E01012284,"1,536"
E01012285,"1,282"
E01012199,"1,389"
E01012200,"2,076"
E01012201,"1,894"
E01012202,"1,479"
E01012203,"1,788"
E01012270,"1,366"
E01012228,"1,339"
E01012230,"1,529"
E01012233,"1,547"
E01012236,"1,251"
E01012237,"1,257"
E01012227,"1,580"
E01012231,"2,003"
E01012232,"1,361"
E01012234,"1,552"
E01033474,"2,171"
E01033475,"1,932"
E01033478,"3,617"
E01033479,"1,912"
E01012235,"1,360"
E01012298,"1,360"
E01012299,"1,516"
E01012300,"1,535"
E01012301,"1,332"
E01012302,"1,380"
E01012303,"1,592"
E08000037,"202,419"
E01008246,"1,438"
E01008247,"1,532"
E01008248,"2,544"
E01008249,"1,547"
E01008250,"1,398"
E01008195,"2,044"
E01008197,"1,503"
E01008198,"1,378"
E01008199,"1,430"
E01008200,"1,297"
E01008245,"1,394"
E01008214,"1,593"
E01008215,"1,651"
E01008243,"1,449"
E01008244,"2,018"
E01008178,"1,560"
E01008180,"1,495"
E01008182,"1,932"
E01008277,"1,549"
E01008280,"1,706"
E01008177,"1,272"
E01008179,"1,185"
E01008181,"1,527"
E01008276,"1,422"
E01008279,"1,376"
E01008209,"2,023"
E01008210,"1,369"
E01008258,"2,303"
E01008259,"1,918"
E01008167,"1,750"
E01008169,"1,606"
E01008170,"1,900"
E01008171,"1,915"
E01008257,"1,482"
E01008262,"1,684"
E01008263,"1,549"
E01008264,"1,394"
E01008265,"1,380"
E01008266,"1,292"
E01008251,"1,885"
E01008252,"2,042"
E01008253,"1,739"
E01008254,"1,493"
E01008255,"2,025"
E01008165,"1,465"
E01008201,"1,758"
E01008202,"1,863"
E01008204,"1,553"
E01008212,"1,347"
E01008213,"1,517"
E01008216,"1,592"
E01008228,"1,198"
E01008206,"1,726"
E01008207,"1,334"
E01008208,"1,692"
E01008211,"1,750"
E01008283,"1,240"
E01008284,"1,434"
E01008286,"1,447"
E01008287,"2,116"
E01008231,"1,544"
E01008240,"1,484"
E01008241,"1,575"
E01008242,"1,631"
E01008281,"1,511"
E01008282,"1,434"
E01008219,"1,618"
E01008235,"1,364"
E01008236,"1,474"
E01008237,"1,529"
E01008238,"1,559"
E01008267,"1,491"
E01008269,"1,461"
E01008270,"1,303"
E01008271,"1,366"
E01008275,"1,440"
E01008229,"1,322"
E01008230,"1,493"
E01008232,"1,396"
E01008233,"1,244"
E01008285,"1,391"
E01008256,"1,686"
E01008260,"1,569"
E01008261,"1,449"
E01008268,"1,491"
E01008272,"1,370"
E01008273,"1,410"
E01008274,"1,325"
E01008193,"1,238"
E01008194,"1,351"
E01008234,"2,174"
E01008239,"1,485"
E01008218,"1,643"
E01008220,"1,240"
E01008221,"1,792"
E01008225,"1,640"
E01008227,"1,701"
E01008184,"1,369"
E01008185,"1,353"
E01008188,"1,403"
E01008278,"1,424"
E01008189,"1,266"
E01008190,"1,328"
E01008191,"1,433"
E01008192,"1,421"
E01008217,"1,529"
E01008183,"1,464"
E01008186,"1,921"
E01008187,"1,643"
E01008196,"1,961"
E01008222,"1,548"
E01008223,"1,925"
E01008224,"2,568"
E01008226,"1,716"
E01008172,"1,677"
E01008173,"1,575"
E01008174,"2,107"
E01008175,"1,392"
E01008176,"1,454"
E01008162,"2,808"
E01008164,"1,528"
E01008166,"2,092"
E01008168,"2,792"
E01008163,"2,251"
E01008203,"1,736"
E01008205,"1,520"
E08000021,"295,842"
E01008294,"1,453"
E01008306,"1,597"
E01008307,"1,035"
E01008308,"3,422"
E01008311,"2,113"
E01008312,"1,246"
E01008313,"1,193"
E01008309,"1,747"
E01008352,"1,468"
E01008357,"1,522"
E01008358,"1,532"
E01033550,"2,066"
E01033551,"1,799"
E01008336,"1,349"
E01008337,"1,407"
E01008338,"1,234"
E01008339,"1,655"
E01008340,"1,414"
E01008341,"1,320"
E01008342,"1,339"
E01008293,"1,378"
E01008456,"1,445"
E01008457,"1,612"
E01008458,"1,625"
E01008459,"1,880"
E01008460,"1,447"
E01008351,"1,349"
E01008354,"1,635"
E01008418,"2,034"
E01008420,"1,299"
E01008422,"1,641"
E01008424,"1,748"
E01008353,"1,532"
E01008355,"1,554"
E01008356,"1,469"
E01008378,"1,419"
E01008419,"1,464"
E01008421,"1,484"
E01008423,"1,296"
E01008317,"1,469"
E01008319,"1,803"
E01008320,"1,534"
E01008321,"1,751"
E01008322,"1,537"
E01008323,"1,506"
E01008295,"1,653"
E01008374,"1,527"
E01008375,"1,594"
E01008376,"1,129"
E01008377,"2,343"
E01008379,"1,538"
E01008380,"1,751"
E01008296,"1,343"
E01008297,"1,598"
E01008298,"1,434"
E01008299,"1,342"
E01008314,"1,132"
E01008315,"1,489"
E01008316,"1,598"
E01008318,"1,355"
E01008363,"1,580"
E01008365,"1,587"
E01008366,"2,032"
E01008369,"1,955"
E01008371,"1,376"
E01008372,"1,950"
E01008373,"2,461"
E01008400,"1,421"
E01008401,"1,476"
E01008402,"1,420"
E01008403,"1,454"
E01008404,"1,595"
E01008405,"1,446"
E01008443,"1,346"
E01008324,"1,744"
E01008325,"1,395"
E01008326,"1,409"
E01008327,"1,326"
E01008328,"1,179"
E01008329,"1,543"
E01008330,"1,265"
E01008300,"1,636"
E01008450,"1,598"
E01008451,"1,772"
E01008452,"1,428"
E01008367,"2,194"
E01008368,"1,578"
E01008370,"1,794"
E01008409,"1,676"
E01008411,"1,783"
E01008303,"1,806"
E01008359,"1,525"
E01008360,"1,613"
E01008361,"1,643"
E01008362,"1,835"
E01008364,"1,741"
E01008343,"1,561"
E01008344,"1,555"
E01008345,"1,536"
E01008346,"1,882"
E01008347,"1,437"
E01008348,"1,161"
E01008349,"1,765"
E01008350,"1,504"
E01008430,"1,304"
E01008431,"1,361"
E01008433,"1,337"
E01008434,"1,440"
E01008435,"1,576"
E01008436,"1,456"
E01008381,"1,464"
E01008382,"1,291"
E01008383,"1,440"
E01008384,"1,400"
E01008385,"1,336"
E01008386,"1,243"
E01008387,"1,361"
E01008396,"2,490"
E01008398,"1,793"
E01008449,"1,972"
E01008453,"1,716"
E01008455,"1,692"
E01033556,"3,775"
E01008406,"3,567"
E01008407,"4,248"
E01008410,"2,122"
E01008412,"1,756"
E01008413,"1,604"
E01033548,"1,569"
E01033553,"4,208"
E01008394,925
E01008395,"1,850"
E01008397,"3,396"
E01008399,"1,888"
E01008439,"1,801"
E01033543,"2,141"
E01033545,"1,827"
E01033554,"4,392"
E01008415,"1,174"
E01008416,"1,625"
E01033547,"2,282"
E01008301,"1,665"
E01008302,"1,495"
E01008304,"2,132"
E01008305,"2,440"
E01008391,"1,504"
E01008392,"1,512"
E01008432,"1,283"
E01008288,"1,310"
E01008289,"1,647"
E01008290,"1,589"
E01008291,"2,358"
E01008292,"1,382"
E01008388,"1,836"
E01008389,"1,700"
E01008426,"1,655"
E01008429,"1,449"
E01008331,"1,836"
E01008332,"2,715"
E01008333,"1,843"
E01008334,"2,170"
E01008335,"2,280"
E01008437,"1,270"
E01008438,"1,911"
E01008390,"1,970"
E01008425,"1,677"
E01008427,"1,083"
E01008428,"1,394"
E01008441,"1,616"
E01008442,"1,295"
E01008444,"1,440"
E01008445,"1,932"
E01008446,"1,354"
E01008447,"1,262"
E01008448,"1,384"
E08000022,"204,473"
E01008547,"1,391"
E01008548,"1,478"
E01008549,"1,527"
E01008551,"1,469"
E01008478,"1,536"
E01008480,"1,546"
E01008504,"1,576"
E01008578,"1,320"
E01008583,"1,432"
E01008520,"1,427"
E01008523,"1,327"
E01008546,"1,552"
E01008550,"1,646"
E01008577,"1,514"
E01008579,"1,406"
E01008580,"1,377"
E01008581,"1,724"
E01008582,"1,456"
E01008517,"1,608"
E01008519,"1,304"
E01008521,"1,476"
